2025-09-22 at 09:20:44 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:20:44 | INFO | Найдено 1 записей.
2025-09-22 at 09:21:01 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:21:01 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:22:28 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:22:28 | INFO | Найдено 1 записей.
2025-09-22 at 09:25:18 | ERROR | Бот остановлен!
2025-09-22 at 09:25:24 | INFO | Бот успешно запущен.
2025-09-22 at 09:25:26 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:25:26 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:25:29 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:25:29 | INFO | Найдено 1 записей.
2025-09-22 at 09:25:30 | INFO | 'add name good'
2025-09-22 at 09:28:32 | ERROR | Бот остановлен!
2025-09-22 at 09:28:37 | INFO | Бот успешно запущен.
2025-09-22 at 09:28:38 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:28:38 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:28:41 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:28:41 | INFO | Найдено 1 записей.
2025-09-22 at 09:28:42 | INFO | 'add name good'
2025-09-22 at 09:28:46 | INFO | 'add descrip good'
2025-09-22 at 09:30:13 | ERROR | Бот остановлен!
2025-09-22 at 09:30:17 | INFO | Бот успешно запущен.
2025-09-22 at 09:30:19 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:30:19 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:30:21 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:30:21 | INFO | Найдено 1 записей.
2025-09-22 at 09:30:22 | INFO | 'add name good'
2025-09-22 at 09:30:25 | INFO | 'add descrip good'
2025-09-22 at 09:30:51 | ERROR | Бот остановлен!
2025-09-22 at 09:30:56 | INFO | Бот успешно запущен.
2025-09-22 at 09:30:57 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:30:57 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:31:00 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:31:00 | INFO | Найдено 1 записей.
2025-09-22 at 09:31:01 | INFO | 'add name good'
2025-09-22 at 09:31:03 | INFO | 'add descrip good'
2025-09-22 at 09:35:51 | ERROR | Бот остановлен!
2025-09-22 at 09:35:57 | INFO | Бот успешно запущен.
2025-09-22 at 09:36:18 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:36:18 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:36:21 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:36:21 | INFO | Найдено 1 записей.
2025-09-22 at 09:36:32 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:36:32 | INFO | Найдено 3 записей.
2025-09-22 at 09:36:50 | INFO | Поиск Category с ID: 1
2025-09-22 at 09:36:50 | INFO | Запись с ID 1 найдена.
2025-09-22 at 09:36:54 | INFO | Добавление записи Product с параметрами: {'name': 'Товар 2', 'description': 'Описание 2', 'price': 300, 'category_id': 1, 'file_id': None, 'hidden_content': '—————'}
2025-09-22 at 09:36:54 | INFO | Запись Product успешно добавлена.
2025-09-22 at 09:36:59 | INFO | Подсчет количества записей Product по фильтру: {}
2025-09-22 at 09:36:59 | INFO | Найдено 2 записей.
2025-09-22 at 09:37:03 | INFO | Поиск всех записей Category по фильтрам: {}
2025-09-22 at 09:37:03 | INFO | Найдено 3 записей.
2025-09-22 at 09:37:05 | INFO | Поиск всех записей Product по фильтрам: {'category_id': 1}
2025-09-22 at 09:37:05 | INFO | Найдено 2 записей.
2025-09-22 at 09:37:52 | INFO | Поиск одной записи User по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:37:52 | INFO | Запись найдена по фильтрам: {'telegram_id': 1330085937}
2025-09-22 at 09:41:38 | ERROR | Бот остановлен!
